train_start,train_end,test_start,test_end,status,best_train_calmar,opt_time_sec,train_coverage,test_coverage,Sharpe,Sortino,MaxDrawdown,Calmar,WinRate,ProfitFactor,Trades,FinalEquity,best_params
2022-06-01,2022-07-01,2022-07-01,2022-07-08,ok,55.409063159537936,10.208256959915161,0.9736111111111111,0.9826388888888888,-17.080055771024366,-20.913286837966012,-0.03157277767738342,-22.927698361428785,0.2857142857142857,0.26506648219632334,14,976365.5404895939,"{'rsi_window': 26, 'rsi_lower': 20, 'rsi_upper': 75, 'macd_fast': 9, 'macd_slow': 37, 'macd_signal': 9, 'bb_window': 15, 'bb_std': 2.649388996553724, 'bb_lower_pct': 0.15174101950733532, 'bb_upper_pct': 0.7256025946357162, 'sl': 0.012321998672733083, 'tp': 0.052128962274754304, 'capital_fraction': 0.2184096762836154}"
2022-06-08,2022-07-08,2022-07-08,2022-07-15,ok,52.751004969842384,10.137250661849976,0.9740740740740741,0.9761904761904762,-11.618522517981122,-12.910388457388922,-0.047534173934376645,-17.490363808687878,0.2,0.4886029436981975,25,944719.364754281,"{'rsi_window': 27, 'rsi_lower': 29, 'rsi_upper': 65, 'macd_fast': 14, 'macd_slow': 38, 'macd_signal': 6, 'bb_window': 13, 'bb_std': 2.3688926438426647, 'bb_lower_pct': 0.13573845055501235, 'bb_upper_pct': 0.8761776680789053, 'sl': 0.006111804235330283, 'tp': 0.05425786317239492, 'capital_fraction': 0.3818154158968173}"
2022-06-15,2022-07-15,2022-07-15,2022-07-22,ok,85.27845132666246,10.541383981704712,0.9728009259259259,0.9801587301587301,-17.826734553462746,-24.582959872765283,-0.018894439504694605,-32.60753943173229,0.1111111111111111,0.27539994918243144,18,927948.9314008915,"{'rsi_window': 25, 'rsi_lower': 34, 'rsi_upper': 66, 'macd_fast': 19, 'macd_slow': 26, 'macd_signal': 13, 'bb_window': 28, 'bb_std': 2.5845270823560087, 'bb_lower_pct': 0.01016197993793775, 'bb_upper_pct': 0.8537716506885087, 'sl': 0.011165590265345979, 'tp': 0.05391980967912782, 'capital_fraction': 0.12438412733848508}"
2022-06-22,2022-07-22,2022-07-22,2022-07-29,ok,22.516232219041182,11.09070897102356,0.9761574074074074,0.9851190476190477,-8.327154194255073,-9.499069928979084,-0.03085793901065237,-20.302031793215907,0.3076923076923077,0.6210832060051289,13,911171.0675283504,"{'rsi_window': 25, 'rsi_lower': 30, 'rsi_upper': 70, 'macd_fast': 18, 'macd_slow': 35, 'macd_signal': 14, 'bb_window': 26, 'bb_std': 2.8407969152085633, 'bb_lower_pct': 0.16608779225344233, 'bb_upper_pct': 0.8790486655799761, 'sl': 0.015728060552799458, 'tp': 0.057240804444663486, 'capital_fraction': 0.30437641910370006}"
2022-06-29,2022-07-29,2022-07-29,2022-08-05,ok,-2.6949733618510385,11.36164116859436,0.9782407407407407,0.996031746031746,-0.28645338581498647,-0.3691187696559333,-0.04271370450897616,-1.3976664823111764,0.4411764705882353,0.9785566424805412,68,909153.6258464879,"{'rsi_window': 7, 'rsi_lower': 31, 'rsi_upper': 61, 'macd_fast': 13, 'macd_slow': 30, 'macd_signal': 9, 'bb_window': 29, 'bb_std': 1.8369536642770075, 'bb_lower_pct': 0.2859463243935118, 'bb_upper_pct': 0.868925600495861, 'sl': 0.003760781673701216, 'tp': 0.049212237362233256, 'capital_fraction': 0.47682338188007767}"
2022-07-06,2022-08-05,2022-08-05,2022-08-12,ok,36.61830808934882,10.812891960144043,0.983912037037037,0.9563492063492064,0.4985724598563201,0.6040694210029166,-0.015843777564066297,2.2324425955029286,0.5882352941176471,1.0177611465795962,17,909738.1238785982,"{'rsi_window': 6, 'rsi_lower': 26, 'rsi_upper': 73, 'macd_fast': 19, 'macd_slow': 35, 'macd_signal': 13, 'bb_window': 12, 'bb_std': 2.7296248104735428, 'bb_lower_pct': 0.14793954530331427, 'bb_upper_pct': 0.9317197020161331, 'sl': 0.025356686377744183, 'tp': 0.02957590780333108, 'capital_fraction': 0.3085807837534119}"
2022-07-13,2022-08-12,2022-08-12,2022-08-19,ok,55.00617967577395,10.699608087539673,0.9787037037037037,0.9776785714285714,3.968053708427715,4.683895058895404,-0.004678675202659743,16.67905167168367,0.5,1.1982149529599238,10,910995.1401074457,"{'rsi_window': 11, 'rsi_lower': 25, 'rsi_upper': 78, 'macd_fast': 16, 'macd_slow': 40, 'macd_signal': 13, 'bb_window': 14, 'bb_std': 2.949071411222453, 'bb_lower_pct': 0.030420062750603525, 'bb_upper_pct': 0.9811730267613811, 'sl': 0.016702591687719138, 'tp': 0.027464744616228307, 'capital_fraction': 0.09952948771186004}"
2022-07-20,2022-08-19,2022-08-19,2022-08-26,ok,70.18031091140494,10.321030855178833,0.9793981481481482,0.9791666666666666,-10.751824673093163,-13.081840908774016,-0.022939130692651966,-29.11610597473474,0.4,0.47321093276406506,15,892353.5146807464,"{'rsi_window': 5, 'rsi_lower': 27, 'rsi_upper': 76, 'macd_fast': 13, 'macd_slow': 26, 'macd_signal': 11, 'bb_window': 12, 'bb_std': 2.391122105871639, 'bb_lower_pct': 0.001036559724550596, 'bb_upper_pct': 0.9770987843179602, 'sl': 0.019981829502111727, 'tp': 0.032884119462093644, 'capital_fraction': 0.36140266820389055}"
2022-07-27,2022-08-26,2022-08-26,2022-09-02,ok,33.30874386837172,9.877628803253174,0.975,0.972718253968254,0.16941512703079473,0.19039762913269487,-0.03426005609561,0.1705122276408374,0.5555555555555556,1.0029481151828918,9,892451.0592877254,"{'rsi_window': 26, 'rsi_lower': 33, 'rsi_upper': 78, 'macd_fast': 19, 'macd_slow': 34, 'macd_signal': 5, 'bb_window': 18, 'bb_std': 2.9929801166320047, 'bb_lower_pct': 0.20197745666812195, 'bb_upper_pct': 0.8383748505133815, 'sl': 0.02157634206113926, 'tp': 0.040211749296316136, 'capital_fraction': 0.38787567763424896}"
2022-08-03,2022-09-02,2022-09-02,2022-09-09,ok,106.82115250877466,10.112298011779785,0.9723379629629629,0.9791666666666666,-11.404680378191753,-12.58667477575279,-0.03104762125663696,-21.500958847346617,0.3333333333333333,0.4092020904816189,9,874251.6639588919,"{'rsi_window': 25, 'rsi_lower': 31, 'rsi_upper': 74, 'macd_fast': 14, 'macd_slow': 34, 'macd_signal': 9, 'bb_window': 15, 'bb_std': 1.9296434732281331, 'bb_lower_pct': 0.03192919025277453, 'bb_upper_pct': 0.9054140325591354, 'sl': 0.010717185050282341, 'tp': 0.04524245879214645, 'capital_fraction': 0.4367962609604626}"
