fee_multiplier,fee_rate,total_fees_paid,Sharpe,Sortino,MaxDrawdown,Calmar,WinRate,ProfitFactor,Trades,FinalEquity
0.0,0.0,,-1.2187573911636904,-1.34753191619386,-0.03106908429502353,-0.4987232849131633,0.4375,0.849125477452949,16,993394.9222874445
0.5,0.000625,,-2.170804063572209,-2.3904629022698387,-0.033181298437499396,-0.8123024277436005,0.4375,0.7518087475698382,16,988471.9237388527
1.0,0.00125,,-3.1122725012970953,-3.406786432572131,-0.03528956451768128,-1.084789792100996,0.4375,0.6654752751924538,16,983571.8043821267
1.5,0.001875,,-4.038982011735386,-4.38744253359974,-0.03775619217033188,-1.31056219708083,0.4375,0.5883844212797463,16,978694.4649467231
2.0,0.0025,,-4.947086408458251,-5.322364368292355,-0.04089683568573166,-1.4806745185364476,0.375,0.5208398212784784,16,973839.8065621806
